# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Mar 20 07:19:08 2024
#
# COLUMN StellarName:    Stellar Name
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_lum:         Luminosity [solar]
# COLUMN st_lum_utl:     Utilized Luminosity [solar]
# COLUMN st_dist:        Distance [pc]
# COLUMN hz_inner_au:    Inner HZ Radius [au]
# COLUMN hz_outer_au:    Outer HZ Radius [au]
# COLUMN hz_center_au:   Center HZ Radius [au]
# COLUMN hz_inner_mas:   Inner HZ Radius [mas]
# COLUMN hz_outer_mas:   Outer HZ Radius [mas]
# COLUMN hz_center_mas:  Center HZ Radius [mas]
#
StellarName,st_teff,st_rad,st_lum,st_lum_utl,st_dist,hz_inner_au,hz_outer_au,hz_center_au,hz_inner_mas,hz_outer_mas,hz_center_mas
HD 202206,5766.0,1.040,,1.07860,45.97,0.7789,1.8382,1.0386,16.945,39.991,22.594
HD 202696,5040.0,6.430,23.40000,23.40000,188.55,3.6280,8.5621,4.8374,19.242,45.411,25.656
HD 202772 A,6272.0,2.591,9.36000,9.36000,161.50,2.2946,5.4152,3.0594,14.208,33.531,18.944
HD 203030,,,,,39.25,,,,,,
HD 20329,5596.0,1.130,1.12000,1.12000,63.68,0.7937,1.8732,1.0583,12.464,29.416,16.619
HD 203387,,,,,61.75,,,,,,
HD 2039,5945.0,1.190,,1.59587,85.69,0.9475,2.2360,1.2633,11.057,26.093,14.742
HD 204313,,,,,47.79,,,,,,
HD 204941,5026.0,0.780,,0.35025,28.72,0.4439,1.0475,0.5918,15.457,36.478,20.609
HD 205158,,,,,86.62,,,,,,
HD 205739,6176.0,1.330,2.29087,2.29087,92.51,1.1352,2.6790,1.5136,12.271,28.959,16.361
HD 206255,5635.0,,,,75.24,,,,,,
HD 206610,4842.0,6.120,,18.57371,147.19,3.2323,7.6282,4.3097,21.960,51.825,29.280
HD 206893,,,,,40.76,,,,,,
HD 207496,4819.0,0.769,,0.28772,23.61,0.4023,0.9494,0.5364,17.042,40.220,22.723
HD 20781,5256.0,,0.49000,0.49000,35.97,0.5250,1.2390,0.7000,14.595,34.444,19.460
HD 20782,5782.1,1.127,1.27863,1.27863,35.99,0.8481,2.0015,1.1308,23.567,55.617,31.422
HD 207832,5726.0,0.890,0.77625,0.77625,58.93,0.6608,1.5595,0.8810,11.213,26.463,14.951
HD 207832,5710.0,0.901,0.77268,0.77268,58.93,0.6593,1.5559,0.8790,11.187,26.402,14.917
HD 207897,5070.0,0.779,0.36000,0.36000,28.29,0.4500,1.0620,0.6000,15.905,37.535,21.206
HD 20794,5401.0,,,,6.00,,,,,,
HD 20794,,,,,6.00,,,,,,
HD 208487,6067.0,,,,45.15,,,,,,
HD 208527,4035.0,51.100,,624.47162,312.20,18.7421,44.2313,24.9894,60.032,141.675,80.043
HD 20868,4802.0,0.760,,0.27708,47.72,0.3948,0.9317,0.5264,8.273,19.524,11.030
HD 208897,4860.0,4.980,12.30269,12.30269,67.49,2.6306,6.2083,3.5075,38.980,91.992,51.973
HD 209458,6091.0,1.190,,1.75851,48.30,0.9946,2.3472,1.3261,20.591,48.594,27.454
HD 210193,5790.0,,,,42.20,,,,,,
HD 210277,5538.0,1.070,,0.97157,21.30,0.7393,1.7447,0.9857,34.710,81.915,46.280
HD 210702,4912.0,4.540,10.85000,10.85000,54.20,2.4705,5.8303,3.2939,45.583,107.577,60.778
HD 211403,6273.0,1.206,,2.03185,83.09,1.0691,2.5230,1.4254,12.866,30.364,17.155
HD 211810,5652.0,1.130,1.17490,1.17490,64.64,0.8129,1.9186,1.0839,12.577,29.683,16.770
HD 211970,4127.0,,,,13.13,,,,,,
HD 212301,6239.0,1.160,,1.83939,54.23,1.0172,2.4005,1.3562,18.757,44.266,25.009
HD 212771,5003.0,5.270,,15.69784,111.16,2.9715,7.0128,3.9621,26.733,63.091,35.644
HD 213240,5979.0,1.510,,2.62884,40.87,1.2160,2.8698,1.6214,29.753,70.217,39.671
HD 213472,5729.5,1.434,,1.99901,64.45,1.0604,2.5025,1.4139,16.452,38.828,21.936
HD 213519,,,,,41.00,,,,,,
HD 213885,5978.0,1.101,1.37600,1.37600,48.09,0.8798,2.0763,1.1730,18.295,43.176,24.393
HD 21411,5605.0,,,,29.13,,,,,,
HD 214823,,,,,101.37,,,,,,
HD 215152,4935.0,0.730,,0.28516,21.60,0.4005,0.9452,0.5340,18.544,43.764,24.725
HD 215497,5110.0,0.850,,0.44445,40.55,0.5000,1.1800,0.6667,12.331,29.102,16.442
HD 215497,,,,,40.55,,,,,,
HD 216435,5999.0,,,,32.98,,,,,,
HD 216437,,,,,26.69,,,,,,
HD 216520,5103.0,0.760,0.35318,0.35318,19.55,0.4457,1.0519,0.5943,22.797,53.800,30.395
HD 216536,4639.0,9.830,,40.37395,376.23,4.7655,11.2467,6.3541,12.666,29.893,16.889
HD 216770,5399.0,0.930,,0.66300,36.66,0.6107,1.4412,0.8143,16.657,39.311,22.209
HD 21693,5430.0,,0.62000,0.62000,33.26,0.5906,1.3937,0.7874,17.758,41.909,23.678
HD 217107,5575.0,1.199,1.25181,1.25181,20.06,0.8391,1.9804,1.1188,41.827,98.712,55.770
HD 217107,5622.0,1.110,,1.11047,20.06,0.7903,1.8652,1.0538,39.395,92.972,52.527
HD 217786,,,,,55.48,,,,,,
HD 217958,,,,,61.80,,,,,,
HD 218566,4730.0,0.850,,0.32627,28.83,0.4284,1.0110,0.5712,14.861,35.072,19.815
HD 219077,,,,,29.19,,,,,,
HD 219134,4913.0,0.770,0.31000,0.31000,6.53,0.4176,0.9855,0.5568,63.936,150.889,85.248
HD 219134,4699.0,0.778,0.26460,0.26460,6.53,0.3858,0.9105,0.5144,59.069,139.402,78.758
HD 219139,4831.0,11.220,62.32000,62.32000,104.94,5.9207,13.9729,7.8943,56.423,133.158,75.230
HD 219415,4820.0,2.900,4.16869,4.16869,165.18,1.5313,3.6139,2.0417,9.270,21.878,12.360
HD 219666,5527.0,1.030,,0.89316,94.17,0.7088,1.6728,0.9451,7.527,17.763,10.036
HD 219828,,,,,73.11,,,,,,
HD 220074,3787.0,54.920,,559.67902,324.54,17.7432,41.8738,23.6575,54.672,129.025,72.896
HD 220197,5683.0,0.980,,0.90377,64.41,0.7130,1.6827,0.9507,11.070,26.124,14.759
HD 220689,5921.0,1.068,,1.26479,46.88,0.8435,1.9906,1.1246,17.993,42.464,23.991
HD 220773,5940.0,,,,50.51,,,,,,
HD 220842,5960.0,,,,64.65,,,,,,
HD 221287,6304.0,,1.66000,1.66000,55.92,0.9663,2.2805,1.2884,17.279,40.779,23.039
HD 221416,5080.0,2.943,5.15000,5.15000,95.55,1.7020,4.0168,2.2694,17.813,42.039,23.751
HD 221420,,,,,31.14,,,,,,
HD 221585,5620.0,,2.64000,2.64000,55.85,1.2186,2.8759,1.6248,21.818,51.490,29.091
HD 222076,4806.0,4.100,8.50000,8.50000,91.15,2.1866,5.1604,2.9155,23.988,56.612,31.984
HD 222155,5701.0,1.850,,3.26170,50.61,1.3545,3.1967,1.8060,26.765,63.165,35.687
HD 222582,5790.0,1.130,,1.29470,42.16,0.8534,2.0140,1.1378,20.242,47.772,26.990
HD 224538,,,,,79.06,,,,,,
HD 224693,5894.0,1.930,4.07380,4.07380,93.50,1.5138,3.5725,2.0184,16.190,38.208,21.586
HD 22496,4385.0,0.674,0.06700,0.06700,13.60,0.1941,0.4582,0.2588,14.279,33.699,19.039
HD 22532,5038.0,5.690,18.80000,18.80000,161.18,3.2519,7.6745,4.3359,20.175,47.614,26.900
HD 22781,5027.0,,,,32.60,,,,,,
HD 22946,6169.0,1.117,,1.63028,62.78,0.9576,2.2600,1.2768,15.254,35.999,20.338
HD 23079,5974.0,1.070,,1.31560,33.46,0.8602,2.0302,1.1470,25.710,60.677,34.281
HD 23127,5843.0,1.490,,2.33460,93.86,1.1460,2.7045,1.5279,12.210,28.815,16.280
HD 231701,6101.0,1.530,2.95121,2.95121,108.88,1.2884,3.0407,1.7179,11.834,27.928,15.778
HD 233604,4791.0,10.900,56.23413,56.23413,847.06,5.6242,13.2731,7.4989,6.640,15.670,8.853
HD 233832,4981.0,0.680,,0.25679,58.74,0.3801,0.8969,0.5067,6.470,15.269,8.627
HD 23472,4684.0,0.710,0.23700,0.23700,39.03,0.3651,0.8617,0.4868,9.354,22.075,12.472
HD 235088,5037.0,0.789,0.36090,0.36090,41.17,0.4506,1.0633,0.6007,10.944,25.827,14.592
HD 23596,,,,,52.00,,,,,,
HD 238090,3933.0,0.570,0.07020,0.07020,15.24,0.1987,0.4690,0.2650,13.043,30.781,17.391
HD 238914,4769.0,12.730,70.79458,70.79458,519.45,6.3105,14.8927,8.4140,12.148,28.670,16.198
HD 240210,4297.0,,35.48134,35.48134,372.40,4.4675,10.5432,5.9566,11.996,28.311,15.995
HD 240237,3926.0,71.230,,1087.48636,933.38,24.7328,58.3694,32.9771,26.498,62.536,35.331
HD 24040,5776.5,1.387,,1.93326,46.62,1.0428,2.4610,1.3904,22.367,52.787,29.823
HD 24040,5802.0,1.300,,1.72780,46.62,0.9858,2.3266,1.3145,21.145,49.903,28.194
HD 24064,4052.0,40.000,,389.12979,300.25,14.7948,34.9157,19.7264,49.275,116.290,65.700
HD 24085,6034.0,,,,54.90,,,,,,
HD 25015,,,,,37.43,,,,,,
HD 25171,6125.0,1.230,,1.92102,55.61,1.0395,2.4532,1.3860,18.691,44.111,24.922
HD 25723,4766.0,13.760,87.99000,87.99000,114.82,7.0352,16.6031,9.3803,61.274,144.606,81.699
HD 25912,,,,,49.17,,,,,,
HD 260655,3803.0,0.439,0.03631,0.03631,10.01,0.1429,0.3373,0.1906,14.284,33.709,19.045
HD 26161,,,,,40.91,,,,,,
HD 2638,5186.0,0.940,,0.57661,54.96,0.5695,1.3440,0.7593,10.362,24.454,13.816
HD 2685,6801.0,1.560,4.66000,4.66000,196.85,1.6190,3.8209,2.1587,8.225,19.410,10.966
HD 26965,5072.0,0.870,,0.45191,5.04,0.5042,1.1899,0.6722,100.127,236.299,133.502
HD 27442,4846.0,,,,18.27,,,,,,
HD 27631,5737.0,0.923,,0.83261,50.29,0.6844,1.6151,0.9125,13.609,32.118,18.146
HD 27894,,,,,43.82,,,,,,
HD 27894,,,,,43.82,,,,,,
HD 27969,5966.0,1.270,,1.84347,67.93,1.0183,2.4032,1.3577,14.990,35.376,19.987
HD 28109,6120.0,1.446,,2.64630,139.61,1.2201,2.8793,1.6267,8.739,20.624,11.652
HD 28185,,,,,39.38,,,,,,
HD 28192,,,,,49.81,,,,,,
HD 28254,,,,,55.29,,,,,,
HD 285507,4503.0,0.690,,0.17660,45.03,0.3152,0.7438,0.4202,7.000,16.519,9.333
HD 285968,,,0.02198,0.02198,9.47,0.1112,0.2624,0.1483,11.741,27.708,15.654
HD 28678,4972.0,6.480,,23.15108,189.91,3.6087,8.5165,4.8116,19.002,44.845,25.336
HD 29021,5560.0,0.850,,0.62292,30.99,0.5919,1.3970,0.7893,19.099,45.073,25.465
HD 290327,5505.0,0.950,,0.74778,56.43,0.6486,1.5306,0.8647,11.493,27.122,15.323
HD 29399,4845.0,4.500,10.04000,10.04000,44.15,2.3764,5.6084,3.1686,53.824,127.026,71.766
HD 2952,4853.0,10.900,58.59000,58.59000,110.10,5.7408,13.5483,7.6544,52.140,123.051,69.520
HD 29985,,,,,31.27,,,,,,
HD 30177,,,,,55.59,,,,,,
HD 30562,5882.0,1.610,,2.79929,26.16,1.2548,2.9614,1.6731,47.968,113.205,63.958
HD 30669,5400.0,0.910,,0.63526,58.08,0.5978,1.4108,0.7970,10.292,24.288,13.722
HD 307842,5558.0,0.907,,0.70825,64.60,0.6312,1.4896,0.8416,9.771,23.059,13.028
HD 30856,4895.0,4.400,,10.02797,131.20,2.3750,5.6051,3.1667,18.102,42.722,24.137
HD 31253,6130.0,1.750,,3.90135,58.14,1.4814,3.4961,1.9752,25.478,60.128,33.971
HD 31527,5898.0,,1.20000,1.20000,38.45,0.8216,1.9389,1.0954,21.369,50.431,28.492
HD 3167,5261.0,0.880,,0.53522,47.29,0.5487,1.2949,0.7316,11.603,27.382,15.470
HD 32518,4580.0,10.220,,41.46297,122.11,4.8294,11.3973,6.4392,39.548,93.333,52.730
HD 32963,5727.0,,,,38.08,,,,,,
HD 330075,5000.0,0.840,,0.39786,45.30,0.4731,1.1165,0.6308,10.443,24.646,13.925
HD 331093,5544.0,,,,50.19,,,,,,
HD 33142,5025.4,4.170,10.01000,10.01000,121.38,2.3729,5.6000,3.1639,19.550,46.138,26.067
HD 332231,6089.0,1.277,2.02000,2.02000,80.67,1.0660,2.5156,1.4213,13.214,31.186,17.619
HD 33283,5935.0,1.970,4.36516,4.36516,89.86,1.5670,3.6981,2.0893,17.437,41.152,23.250
HD 33564,6250.0,,,,20.95,,,,,,
HD 33844,4861.0,5.290,14.10000,14.10000,105.78,2.8162,6.6463,3.7550,26.624,62.832,35.499
HD 33844,4861.0,5.390,,14.63446,105.78,2.8691,6.7711,3.8255,27.124,64.012,36.165
HD 34445,5879.0,1.380,,2.05243,46.09,1.0745,2.5358,1.4326,23.312,55.017,31.083
HD 34445,5836.0,1.380,2.01000,2.01000,46.09,1.0633,2.5094,1.4177,23.070,54.445,30.760
HD 35759,6060.0,,,,71.24,,,,,,
HD 360,4770.0,10.860,55.16000,55.16000,111.54,5.5702,13.1458,7.4270,49.938,117.855,66.585
HD 36384,3940.0,38.400,388.28000,388.28000,209.31,14.7786,34.8775,19.7048,70.607,166.632,94.142
HD 3651,5221.0,,,,11.13,,,,,,
HD 37124,,,,,31.66,,,,,,
HD 37605,5329.0,0.910,0.60256,0.60256,46.79,0.5822,1.3740,0.7762,12.443,29.367,16.591
HD 3765,5049.8,0.831,,0.40475,17.93,0.4772,1.1261,0.6362,26.618,62.818,35.490
HD 38283,5981.0,1.490,,2.56309,38.06,1.2007,2.8337,1.6010,31.547,74.451,42.063
HD 38529,,,,,42.35,,,,,,
HD 38801,5338.0,2.029,,3.01561,91.43,1.3024,3.0737,1.7366,14.244,33.616,18.992
HD 39091,,,,,18.27,,,,,,
HD 39091,5998.0,1.190,,1.65355,18.27,0.9644,2.2760,1.2859,52.787,124.577,70.383
HD 39194,5205.0,,0.39000,0.39000,26.41,0.4684,1.1054,0.6245,17.733,41.849,23.644
HD 39855,5576.0,,,,23.26,,,,,,
HD 40307,4956.0,,0.22961,0.22961,12.94,0.3594,0.8482,0.4792,27.781,65.564,37.042
HD 40956,4869.0,8.560,46.17000,46.17000,116.59,5.0961,12.0269,6.7949,43.709,103.153,58.278
HD 40979,6165.0,1.210,,1.90809,34.09,1.0360,2.4450,1.3813,30.392,71.725,40.522
HD 41004 A,,,,,36.69,,,,,,
HD 41004 B,,,,,41.55,,,,,,
HD 4113,,,,,41.87,,,,,,
HD 42012,5405.0,0.820,,0.51773,36.80,0.5397,1.2736,0.7195,14.665,34.610,19.554
HD 4203,5596.0,1.420,,1.78396,81.38,1.0017,2.3641,1.3356,12.309,29.050,16.413
HD 4203,5582.0,1.498,1.96268,1.96268,81.38,1.0507,2.4797,1.4010,12.911,30.471,17.215
HD 4208,5717.0,0.846,,0.68978,34.19,0.6229,1.4700,0.8305,18.217,42.991,24.289
HD 42618,5727.0,0.999,0.98000,0.98000,24.34,0.7425,1.7522,0.9899,30.509,72.001,40.679
HD 4308,5686.0,1.020,,0.98113,22.02,0.7429,1.7532,0.9905,33.743,79.634,44.991
HD 4313,4943.0,5.140,,14.22936,136.31,2.8291,6.6768,3.7722,20.755,48.983,27.674
HD 43197,,,,,62.41,,,,,,
HD 43691,6093.0,1.600,3.16228,3.16228,85.60,1.3337,3.1476,1.7783,15.581,36.770,20.774
HD 44219,,,,,52.91,,,,,,
HD 45184,5869.0,,1.13000,1.13000,21.95,0.7973,1.8815,1.0630,36.316,85.707,48.422
HD 45350,5566.0,1.264,1.38245,1.38245,46.87,0.8818,2.0811,1.1758,18.813,44.399,25.084
HD 45364,5466.0,0.890,0.63700,0.63700,34.35,0.5986,1.4127,0.7981,17.424,41.121,23.232
HD 45652,5294.0,0.940,0.63096,0.63096,34.85,0.5957,1.4060,0.7943,17.093,40.338,22.790
HD 457,,,,,55.04,,,,,,
HD 46375,5285.0,,,,29.55,,,,,,
HD 47186,,,,,37.46,,,,,,
HD 47186,5657.0,1.080,,1.07768,37.46,0.7786,1.8375,1.0381,20.786,49.055,27.714
HD 4732,4898.0,5.030,13.13000,13.13000,54.78,2.7177,6.4137,3.6235,49.607,117.071,66.142
HD 47366,4866.0,7.300,26.10000,26.10000,84.36,3.8316,9.0426,5.1088,45.422,107.197,60.563
HD 47536,4380.0,23.470,,182.90238,122.54,10.1431,23.9377,13.5241,82.777,195.353,110.369
HD 4760,4076.0,42.400,851.13804,851.13804,537.87,21.8807,51.6385,29.1743,40.680,96.005,54.240
HD 48265,5733.0,1.901,,3.52200,90.54,1.4075,3.3218,1.8767,15.545,36.686,20.727
HD 4917,4802.0,5.010,,12.04095,204.28,2.6025,6.1419,3.4700,12.740,30.067,16.987
HD 49674,5602.0,1.020,,0.92442,43.04,0.7211,1.7018,0.9615,16.754,39.540,22.339
HD 50499,6102.0,1.351,,2.28295,46.28,1.1332,2.6744,1.5109,24.484,57.781,32.645
HD 50499,6099.0,1.420,,2.51714,46.28,1.1899,2.8082,1.5866,25.709,60.672,34.278
HD 50554,5987.0,1.020,1.38995,1.38995,31.17,0.8842,2.0868,1.1790,28.371,66.956,37.828
HD 51608,5358.0,,0.57000,0.57000,35.06,0.5662,1.3363,0.7550,16.153,38.120,21.537
HD 52265,6136.0,,,,29.98,,,,,,
HD 5278,6203.0,1.194,1.90700,1.90700,57.58,1.0357,2.4443,1.3809,17.986,42.447,23.981
HD 5319,4871.0,4.060,,8.37185,121.41,2.1701,5.1213,2.8934,17.875,42.184,23.833
HD 55696,6012.0,1.520,2.69153,2.69153,77.97,1.2304,2.9038,1.6406,15.781,37.243,21.041
HD 5583,4830.0,9.090,40.73803,40.73803,219.22,4.7870,11.2973,6.3826,21.837,51.535,29.116
HD 5608,4807.0,5.430,14.28000,14.28000,58.11,2.8342,6.6886,3.7789,48.772,115.102,65.029
HD 564,5902.0,1.010,,1.11670,51.17,0.7926,1.8704,1.0567,15.490,36.556,20.653
HD 56414,8500.0,1.751,14.39000,14.39000,272.22,2.8451,6.7143,3.7934,10.451,24.665,13.935
HD 56957,,,,,61.49,,,,,,
HD 5891,4673.0,10.640,,48.70383,283.50,5.2341,12.3525,6.9788,18.462,43.571,24.616
HD 59686 A,4658.0,13.200,,74.00184,89.27,6.4518,15.2263,8.6024,72.271,170.561,96.362
HD 60292,4348.0,27.000,247.80000,247.80000,315.21,11.8062,27.8627,15.7417,37.455,88.394,49.940
HD 60532,6245.0,2.570,,9.06343,25.97,2.2579,5.3287,3.0106,86.938,205.173,115.917
HD 62364,6255.0,1.401,2.71000,2.71000,53.11,1.2347,2.9138,1.6462,23.246,54.861,30.995
HD 62364,,,,,53.11,,,,,,
HD 62509,4892.6,,,,,,,,,,
HD 62549,,,,,49.33,,,,,,
HD 63433,5688.0,0.912,0.75000,0.75000,22.40,0.6495,1.5329,0.8660,28.992,68.421,38.656
HD 63454,4812.0,0.770,,0.28680,37.69,0.4017,0.9479,0.5355,10.657,25.150,14.209
HD 63765,5449.0,0.830,,0.54792,32.54,0.5552,1.3102,0.7402,17.062,40.267,22.750
HD 63935,5534.0,0.959,0.79800,0.79800,48.97,0.6700,1.5812,0.8933,13.680,32.286,18.241
HD 64114,5676.0,,,,31.53,,,,,,
HD 64121,5078.0,5.440,17.70000,17.70000,129.97,3.1554,7.4466,4.2071,24.278,57.297,32.371
HD 6434,5769.0,1.120,,1.25353,42.36,0.8397,1.9817,1.1196,19.824,46.785,26.432
HD 65216,5612.0,,,,35.12,,,,,,
HD 66141,4323.0,21.400,173.78008,173.78008,68.15,9.8869,23.3331,13.1826,145.074,342.375,193.432
HD 66428,,,,,53.28,,,,,,
HD 67087,6330.0,1.550,3.46737,3.46737,76.52,1.3966,3.2959,1.8621,18.251,43.071,24.334
HD 6718,5801.0,0.950,,0.92205,51.34,0.7202,1.6996,0.9602,14.026,33.102,18.702
HD 68402,5950.0,1.020,1.17000,1.17000,78.43,0.8112,1.9145,1.0817,10.344,24.411,13.792
HD 6860,3802.0,86.400,1674.88000,1674.88000,61.12,30.6940,72.4378,40.9253,502.153,1185.082,669.538
HD 68988,5932.0,1.190,,1.58196,60.84,0.9433,2.2262,1.2578,15.504,36.589,20.672
HD 68988,5883.4,1.256,,1.70454,60.84,0.9792,2.3109,1.3056,16.093,37.980,21.458
HD 69123,4842.0,7.720,29.51000,29.51000,75.12,4.0742,9.6152,5.4323,54.239,128.005,72.319
HD 69830,5385.0,,0.60256,0.60256,12.56,0.5822,1.3740,0.7762,46.356,109.399,61.808
HD 70573,5737.0,,,,59.18,,,,,,
HD 70642,5732.0,0.984,,0.94300,29.28,0.7283,1.7188,0.9711,24.877,58.711,33.170
HD 7199,5371.0,0.970,,0.70642,36.15,0.6304,1.4877,0.8405,17.436,41.149,23.248
HD 72490,4934.0,4.960,,13.15396,126.34,2.7201,6.4195,3.6268,21.530,50.812,28.707
HD 72659,,,,,51.89,,,,,,
HD 72892,,,,,69.73,,,,,,
HD 73256,,,,,36.71,,,,,,
HD 73267,,,,,50.41,,,,,,
HD 73526,5601.0,1.530,,2.07846,97.24,1.0813,2.5518,1.4417,11.120,26.242,14.826
HD 73526,,,,,97.24,,,,,,
HD 73534,4917.0,2.580,,3.51024,83.33,1.4052,3.3162,1.8736,16.862,39.795,22.483
HD 73583,4511.0,0.650,,0.15784,31.57,0.2980,0.7032,0.3973,9.439,22.277,12.586
HD 74156,,,,,57.60,,,,,,
HD 7449,,,,,38.66,,,,,,
HD 74698,5783.0,1.333,1.79000,1.79000,52.06,1.0034,2.3681,1.3379,19.273,45.484,25.697
HD 75289,6117.0,1.230,,1.91100,29.12,1.0368,2.4468,1.3824,35.609,84.038,47.479
HD 75302,,,,,30.33,,,,,,
HD 75784,4867.0,3.400,,5.85194,85.43,1.8143,4.2818,2.4191,21.237,50.119,28.316
HD 75898,5963.0,1.580,2.88403,2.88403,78.05,1.2737,3.0059,1.6982,16.319,38.512,21.758
HD 76700,5644.0,1.370,,1.71825,60.88,0.9831,2.3202,1.3108,16.148,38.108,21.530
HD 76920,4698.0,7.470,24.00000,24.00000,184.03,3.6742,8.6712,4.8990,19.965,47.118,26.620
HD 77338,5341.0,0.970,,0.69077,45.94,0.6233,1.4711,0.8311,13.570,32.025,18.093
HD 79181,4862.0,11.060,61.61000,61.61000,103.33,5.8869,13.8931,7.8492,56.969,134.447,75.959
HD 7924,5075.0,0.782,,0.36607,16.99,0.4538,1.0709,0.6050,26.705,63.024,35.607
HD 7924,5131.0,0.780,,0.38045,16.99,0.4626,1.0917,0.6168,27.224,64.250,36.299
HD 79498,5748.0,1.050,1.07152,1.07152,48.95,0.7764,1.8322,1.0351,15.861,37.431,21.147
HD 80606,5561.0,1.040,,0.93320,66.47,0.7245,1.7099,0.9660,10.900,25.723,14.533
HD 80653,5959.0,1.220,,1.69321,109.86,0.9759,2.3032,1.3012,8.883,20.965,11.844
HD 80869,,,,,85.40,,,,,,
HD 80883,,,,,34.60,,,,,,
HD 80913,,,,,61.36,,,,,,
HD 81040,,,,,34.43,,,,,,
HD 81688,4797.0,11.130,60.30000,60.30000,85.72,5.8240,13.7446,7.7653,67.943,160.346,90.591
HD 81817,,,,,269.13,,,,,,
HD 82886,4953.0,5.260,,15.02248,127.06,2.9069,6.8603,3.8759,22.878,53.992,30.504
HD 82943,5935.0,1.183,1.56334,1.56334,27.59,0.9378,2.2131,1.2503,33.989,80.213,45.318
HD 8326,4914.0,,,,30.69,,,,,,
HD 83443,5442.0,0.940,0.78700,0.78700,40.90,0.6653,1.5702,0.8871,16.268,38.393,21.691
HD 8535,6136.0,1.190,,1.81106,55.44,1.0093,2.3820,1.3458,18.206,42.965,24.274
HD 85390,5186.0,,,,33.52,,,,,,
HD 85512,4300.0,0.710,,0.15548,11.28,0.2957,0.6979,0.3943,26.215,61.868,34.954
HD 8574,6064.0,1.380,,2.32323,44.83,1.1432,2.6979,1.5242,25.502,60.185,34.003
HD 86065,,,,,40.37,,,,,,
HD 86081,5939.0,1.460,2.39883,2.39883,103.94,1.1616,2.7414,1.5488,11.176,26.376,14.902
HD 86226,5863.0,1.053,1.18000,1.18000,45.68,0.8147,1.9227,1.0863,17.834,42.088,23.779
HD 86264,,,,,67.81,,,,,,
HD 8673,,,,,37.86,,,,,,
HD 86950,4805.0,8.800,36.30000,36.30000,209.84,4.5187,10.6642,6.0249,21.534,50.821,28.712
HD 87646,5770.0,1.550,,2.40250,73.58,1.1625,2.7435,1.5500,15.798,37.284,21.064
HD 87883,,,,,18.29,,,,,,
HD 88072,,,,,35.91,,,,,,
HD 88133,5392.0,2.200,,3.69098,73.61,1.4409,3.4005,1.9212,19.574,46.195,26.099
HD 88986,5861.0,1.543,,2.53464,33.27,1.1940,2.8179,1.5921,35.892,84.706,47.856
HD 89307,5955.0,1.100,,1.37281,32.01,0.8788,2.0739,1.1717,27.452,64.787,36.603
HD 89345,5576.0,1.747,2.66000,2.66000,132.34,1.2232,2.8868,1.6310,9.243,21.813,12.323
HD 89744,6291.0,,,,38.64,,,,,,
HD 89839,6314.0,,,,57.31,,,,,,
HD 90156,5599.0,,0.72000,0.72000,21.95,0.6364,1.5019,0.8485,28.994,68.425,38.658
HD 9174,5577.0,1.670,2.41000,2.41000,81.49,1.1643,2.7478,1.5524,14.288,33.720,19.051
HD 92788,5744.0,1.140,,1.27633,34.65,0.8473,1.9997,1.1297,24.451,57.704,32.601
HD 93083,4995.0,,0.41000,0.41000,28.52,0.4802,1.1334,0.6403,16.841,39.745,22.455
HD 93351,,,,,56.16,,,,,,
HD 93385,5977.0,,1.61000,1.61000,43.35,0.9516,2.2459,1.2689,21.954,51.811,29.272
HD 93963 A,5987.0,1.043,1.25400,1.25400,82.34,0.8399,1.9821,1.1198,10.200,24.071,13.599
HD 9446,5793.0,1.000,1.10000,1.10000,50.35,0.7866,1.8564,1.0488,15.623,36.870,20.830
HD 94771,5631.0,1.903,3.28000,3.28000,57.78,1.3583,3.2056,1.8111,23.508,55.479,31.344
HD 94834,4798.0,4.200,,8.43405,98.16,2.1781,5.1403,2.9041,22.189,52.366,29.586
HD 95086,,,,,86.23,,,,,,
HD 95089,4918.0,5.080,,13.62004,136.96,2.7679,6.5322,3.6905,20.210,47.696,26.947
HD 95127,4218.0,41.010,,480.28894,676.58,16.4366,38.7904,21.9155,24.294,57.333,32.392
HD 95338,5212.0,0.870,0.49000,0.49000,36.99,0.5250,1.2390,0.7000,14.191,33.492,18.922
HD 95544,,,,,87.80,,,,,,
HD 95872,5312.0,0.840,,0.50686,72.22,0.5340,1.2601,0.7119,7.394,17.449,9.858
HD 96063,5020.0,4.750,,12.92703,140.06,2.6966,6.3639,3.5954,19.252,45.435,25.670
HD 96127,3943.0,51.100,,569.43696,587.66,17.8972,42.2373,23.8629,30.455,71.874,40.607
HD 96167,5733.0,1.940,,3.66799,85.30,1.4364,3.3899,1.9152,16.839,39.741,22.452
HD 96700,5845.0,,1.38000,1.38000,25.41,0.8811,2.0793,1.1747,34.672,81.826,46.229
HD 96992,4725.0,7.430,29.51209,29.51209,396.08,4.0744,9.6155,5.4325,10.287,24.277,13.716
HD 97037,,,,,32.41,,,,,,
HD 97048,10000.0,2.250,40.00000,40.00000,183.86,4.7434,11.1945,6.3246,25.799,60.887,34.399
HD 97658,5212.0,0.728,0.35100,0.35100,21.56,0.4443,1.0486,0.5925,20.608,48.634,27.477
